season,age,team,games,ppg,rpg,apg,spg,bpg,fg_pct,pts_total,minutes
1984-85,21.0,CHI,82.0,28.2,6.5,5.9,2.4,0.8,0.515,2313.0,3144.0
1985-86,22.0,CHI,18.0,22.7,3.6,2.9,2.1,1.2,0.457,408.0,451.0
1986-87,23.0,CHI,82.0,37.1,5.2,4.6,2.9,1.5,0.482,3041.0,3281.0
1987-88,24.0,CHI,82.0,35.0,5.5,5.9,3.2,1.6,0.535,2868.0,3311.0
1988-89,25.0,CHI,81.0,32.5,8.0,8.0,2.9,0.8,0.538,2633.0,3255.0
1989-90,26.0,CHI,82.0,33.6,6.9,6.3,2.8,0.7,0.526,2753.0,3197.0
1990-91,27.0,CHI,82.0,31.5,6.0,5.5,2.7,1.0,0.539,2580.0,3034.0
1991-92,28.0,CHI,80.0,30.1,6.4,6.1,2.3,0.9,0.519,2404.0,3102.0
1992-93,29.0,CHI,78.0,32.6,6.7,5.5,2.8,0.8,0.495,2541.0,3067.0
1994-95,31.0,CHI,17.0,26.9,6.9,5.3,1.8,0.8,0.411,457.0,668.0
1995-96,32.0,CHI,82.0,30.4,6.6,4.3,2.2,0.5,0.495,2491.0,3090.0
1996-97,33.0,CHI,82.0,29.6,5.9,4.3,1.7,0.5,0.486,2431.0,3106.0
1997-98,34.0,CHI,82.0,28.7,5.8,3.5,1.7,0.5,0.465,2357.0,3181.0
2001-02,38.0,WAS,60.0,22.9,5.7,5.2,1.4,0.4,0.416,1375.0,2093.0
2002-03,39.0,WAS,82.0,20.0,6.1,3.8,1.5,0.5,0.445,1640.0,3031.0
