season,age,team,games,ppg,rpg,apg,spg,bpg,fg_pct,pts_total,minutes
2003-04,19,CLE,79,20.9,5.5,5.9,1.6,0.7,0.417,1654,3122
2004-05,20,CLE,80,27.2,7.4,7.2,2.2,0.7,0.472,2175,3388
2005-06,21,CLE,79,31.4,7.0,6.6,1.6,0.8,0.48,2478,3361
2006-07,22,CLE,78,27.3,6.7,6.0,1.6,0.7,0.476,2132,3190
2007-08,23,CLE,75,30.0,7.9,7.2,1.8,1.1,0.484,2250,3027
2008-09,24,CLE,81,28.4,7.6,7.2,1.7,1.1,0.489,2304,3054
2009-10,25,CLE,76,29.7,7.3,8.6,1.6,1.0,0.503,2258,2966
2010-11,26,MIA,79,26.7,7.5,7.0,1.6,0.6,0.51,2111,3063
2011-12,27,MIA,62,27.1,7.9,6.2,1.9,0.8,0.531,1683,2326
2012-13,28,MIA,76,26.8,8.0,7.3,1.7,0.9,0.565,2036,2877
2013-14,29,MIA,77,27.1,6.9,6.3,1.6,0.3,0.567,2089,2902
2014-15,30,CLE,69,25.3,6.0,7.4,1.6,0.7,0.488,1743,2493
2015-16,31,CLE,76,25.3,7.4,6.8,1.4,0.6,0.52,1920,2709
2016-17,32,CLE,74,26.4,8.6,8.7,1.2,0.6,0.548,1954,2794
2017-18,33,CLE,82,27.5,8.6,9.1,1.4,0.9,0.542,2251,3026
2018-19,34,LAL,55,27.4,8.5,8.3,1.3,0.6,0.51,1505,1937
2019-20,35,LAL,67,25.3,7.8,10.2,1.2,0.5,0.493,1698,2316
2020-21,36,LAL,45,25.0,7.7,7.8,1.1,0.6,0.513,1126,1504
2021-22,37,LAL,56,30.3,8.2,6.2,1.3,1.1,0.524,1695,2084
2022-23,38,LAL,55,28.9,8.3,6.8,0.9,0.6,0.5,1590,1954
2023-24,39,LAL,71,25.7,7.3,8.3,1.3,0.5,0.54,1822,2504
2024-25,40,LAL,70,24.4,7.8,8.2,1.0,0.6,0.513,1710,2444
2025-26,41,LAL,60,20.9,6.1,7.2,1.2,0.6,0.515,1256,1989
