player,birth_date,birth_year,first_season,decade
Tony Battie,"February 11, 1976",1976,2003-04,1970s
Eric Williams,"July 17, 1972",1972,2003-04,1970s
Dajuan Wagner,"February 4, 1983",1983,2003-04,1980s
Bruno Šundov,"February 10, 1980",1980,2003-04,1980s
Michael Stewart,"April 25, 1975",1975,2003-04,1970s
Kevin Ollie,"December 27, 1972",1972,2003-04,1970s
Ira Newble,"January 20, 1975",1975,2003-04,1970s
Darius Miles,"October 9, 1981",1981,2003-04,1980s
Chris Mihm,"July 16, 1979",1979,2003-04,1970s
Jeff McInnis,"October 22, 1974",1974,2003-04,1970s
Lee Nailon,"February 22, 1975",1975,2003-04,1970s
Jason Kapono,"February 4, 1981",1981,2003-04,1980s
Zydrunas Ilgauskas,"June 5, 1975",1975,2003-04,1970s
DeSagana Diop,"January 30, 1982",1982,2003-04,1980s
Ricky Davis,"September 23, 1979",1979,2003-04,1970s
Mateen Cleaves,"September 7, 1977",1977,2003-04,1970s
Kedrick Brown,"March 18, 1981",1981,2003-04,1980s
J.R. Bremer,"September 19, 1980",1980,2003-04,1980s
Carlos Boozer,"November 20, 1981",1981,2003-04,1980s
Jelani McCoy,"December 6, 1977",1977,2003-04,1970s
Eric Snow,"April 24, 1973",1973,2004-05,1970s
Scott Williams,"March 21, 1968",1968,2004-05,1960s
Jiří Welsch,"January 27, 1980",1980,2004-05,1980s
Anderson Varejão,"September 28, 1982",1982,2004-05,1980s
Robert Traylor,"February 1, 1977",1977,2004-05,1970s
Sasha Pavlović,"November 15, 1983",1983,2004-05,1980s
Luke Jackson,"November 6, 1981",1981,2004-05,1980s
Lucious Harris,"December 18, 1970",1970,2004-05,1970s
Drew Gooden,"September 24, 1981",1981,2004-05,1980s
Jérôme Moïso,"June 15, 1978",1978,2004-05,1970s
Mike Wilks,"May 7, 1979",1979,2005-06,1970s
Ronald Murray,"July 29, 1979",1979,2005-06,1970s
Donyell Marshall,"May 18, 1973",1973,2005-06,1970s
Larry Hughes,"January 23, 1979",1979,2005-06,1970s
Alan Henderson,"December 2, 1972",1972,2005-06,1970s
Zendon Hamilton,"April 27, 1975",1975,2005-06,1970s
Stephen Graham,"June 11, 1982",1982,2005-06,1980s
Martynas Andriuškevičius,"March 12, 1986",1986,2005-06,1980s
Damon Jones,"August 25, 1976",1976,2005-06,1970s
Scot Pollard,"February 12, 1975",1975,2006-07,1970s
David Wesley,"November 14, 1970",1970,2006-07,1970s
Daniel Gibson,"February 27, 1986",1986,2006-07,1980s
Shannon Brown,"November 29, 1985",1985,2006-07,1980s
Dwayne Jones,"June 9, 1983",1983,2006-07,1980s
Delonte West,"July 26, 1983",1983,2007-08,1980s
Ben Wallace,"September 10, 1974",1974,2007-08,1970s
Billy Thomas,"December 23, 1975",1975,2007-08,1970s
Wally Szczerbiak,"March 5, 1977",1977,2007-08,1970s
Joe Smith,"July 26, 1975",1975,2007-08,1970s
Cedric Simmons,"January 3, 1986",1986,2007-08,1980s
Demetris Nichols,"September 4, 1984",1984,2007-08,1980s
Lance Allred,"February 2, 1981",1981,2007-08,1980s
Kaniel Dickens,"July 21, 1978",1978,2007-08,1970s
Devin Brown,"December 30, 1978",1978,2007-08,1970s
Lorenzen Wright,"November 4, 1975",1975,2008-09,1970s
